gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
DHE4	7.67983548398298e-23	3.12642988717076	0.306	0.058	1.89814813822123e-18	sym	evm.model.Ap12.530	evm.TU.Ap12.530	NAD(P)-specific glutamate dehydrogenase	Glutamate dehydrogenase	uncharacterized protein LOC110049851 [Orbicella faveolata]	sp|P95544|DHE4_PRERU	0	NAD(P)-specific glutamate dehydrogenase OS=Prevotella ruminicola GN=gdhA PE=1 SV=1	tr|A0A2B4SR64|A0A2B4SR64_STYPI	0	Glutamate dehydrogenase OS=Stylophora pistillata GN=gdhA PE=4 SV=1	ref|XP_020611344.1|	0	uncharacterized protein LOC110049851 [Orbicella faveolata]	GO:0005737; GO:0004353; GO:0006537	GO:0016639; GO:0006520
CATL.6	2.24805339936131e-22	-1.73346245379503	0.314	0.474	5.55628878186141e-18	apo	evm.model.Ap4.5490	evm.TU.Ap4.5490	Cathepsin L	Predicted protein	cathepsin L1-like [Orbicella faveolata]	sp|Q26636|CATL_SARPE	1.96e-130	Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1	tr|A7SHX1|A7SHX1_NEMVE	7.18e-173	Predicted protein OS=Nematostella vectensis GN=v1g190019 PE=3 SV=1	ref|XP_020631218.1|	0	cathepsin L1-like [Orbicella faveolata]	GO:0005764; GO:0008234; GO:0030154; GO:0007275	GO:0005615; GO:0005764; GO:0004197; GO:0051603
L2EFL.1	4.10526134284803e-22	-6.46645327685302	0.008	0.179	1.01465639349832e-17	apo	evm.model.Ap13.971	evm.TU.Ap13.971	Protein lethal(2)essential for life	Heat shock protein-like	alpha-crystallin A chain-like [Orbicella faveolata]	sp|P82147|L2EFL_DROME	1.15e-17	Protein lethal(2)essential for life OS=Drosophila melanogaster GN=l(2)efl PE=1 SV=1	tr|A0A2B4SJ73|A0A2B4SJ73_STYPI	2.76e-96	Heat shock protein-like OS=Stylophora pistillata GN=HSP20 PE=4 SV=1	ref|XP_020607739.1|	8.07e-108	alpha-crystallin A chain-like [Orbicella faveolata]	GO:0048471; GO:0030018; GO:0051082; GO:0061077; GO:0007275; GO:0042026; GO:0010998; GO:0009408; GO:0045214	
H90A1	1.14109858129287e-18	-1.08934042647559	0.77	0.888	2.82033925352345e-14	apo	evm.model.Ap13.166	evm.TU.Ap13.166	Heat shock protein HSP 90-alpha 1	Heat shock protein HSP 90-alpha 1	heat shock protein HSP 90-beta-like [Stylophora pistillata]	sp|Q90474|H90A1_DANRE	0	Heat shock protein HSP 90-alpha 1 OS=Danio rerio GN=hsp90a.1 PE=1 SV=3	tr|A0A2B4RG70|A0A2B4RG70_STYPI	0	Heat shock protein HSP 90-alpha 1 OS=Stylophora pistillata GN=hsp90a.1 PE=4 SV=1	gb|PFX17354.1|	0	heat shock protein HSP 90-beta-like [Stylophora pistillata]	GO:0031672; GO:0042470; GO:0048471; GO:0030018; GO:0005524; GO:0016887; GO:0030235; GO:0051082; GO:0050900; GO:0007517; GO:0030239; GO:0045429; GO:0006457; GO:0010038; GO:0006950; GO:0048769; GO:0030241; GO:0030240; GO:0014866; GO:0071688	GO:0005524; GO:0051082; GO:0006457; GO:0006950
P30.1	1.72688226679645e-18	0.612722448936981	0.47	0.305	4.26816221061411e-14	sym	evm.model.Ap2.3389	evm.TU.Ap2.3389	P30 adhesin	Accumulation-associated protein	annexin A7-like [Stylophora pistillata]	sp|P75330|P30_MYCPN	3.6e-12	P30 adhesin OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129) GN=p30 PE=4 SV=1	tr|A0A2B4SMS8|A0A2B4SMS8_STYPI	6.97e-70	Accumulation-associated protein OS=Stylophora pistillata GN=AWC38_SpisGene5351 PE=4 SV=1	gb|PFX29888.1|	1.08e-69	annexin A7-like [Stylophora pistillata]	GO:0033111; GO:0042995; GO:0016021; GO:0005886; GO:0020035; GO:0007157; GO:0009405	GO:0016021; GO:0009607
RL32	3.59098711749295e-18	-0.0540621028576052	0.863	0.844	8.87548375959558e-14	apo	evm.model.Ap4.99	evm.TU.Ap4.99	60S ribosomal protein L32	60S ribosomal protein L32	60S ribosomal protein L32-like [Stylophora pistillata]	sp|Q3SZQ6|RL32_BOVIN	7.67e-60	60S ribosomal protein L32 OS=Bos taurus GN=RPL32 PE=2 SV=3	tr|A0A2B4RZV3|A0A2B4RZV3_STYPI	2.3e-70	60S ribosomal protein L32 OS=Stylophora pistillata GN=RPL32 PE=4 SV=1	ref|XP_022796666.1|	1.09e-70	60S ribosomal protein L32-like [Stylophora pistillata]	GO:0022625; GO:0003735; GO:0006412	GO:0005840; GO:0003735; GO:0006412
RL34	1.43493135399703e-17	-0.0210892735836437	0.856	0.812	3.54657633453906e-13	apo	evm.model.Ap9.1111	evm.TU.Ap9.1111	60S ribosomal protein L34	Predicted protein	60S ribosomal protein L34-like [Stylophora pistillata]	sp|Q9D1R9|RL34_MOUSE	6.1e-50	60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2	tr|A7SCX9|A7SCX9_NEMVE	3.35e-67	Predicted protein OS=Nematostella vectensis GN=v1g237122 PE=3 SV=1	ref|XP_022809737.1|	1.51e-82	60S ribosomal protein L34-like [Stylophora pistillata]	GO:0022625; GO:0005739; GO:0045296; GO:0003723; GO:0003735; GO:0042254; GO:0006412	GO:0022625; GO:0003723; GO:0003735; GO:0042254; GO:0006412
CO4A1.2	5.83519762936426e-17	0.107326225604618	0.847	0.789	1.44222744607367e-12	sym	evm.model.Ap8.1235	evm.TU.Ap8.1235	Collagen alpha-1(IV) chain	Collagen alpha-5(IV) chain	collagen alpha-5(IV) chain-like [Orbicella faveolata]	sp|P08120|CO4A1_DROME	0	Collagen alpha-1(IV) chain OS=Drosophila melanogaster GN=Cg25C PE=1 SV=3	tr|T2MFW7|T2MFW7_HYDVU	0	Collagen alpha-5(IV) chain OS=Hydra vulgaris GN=COL4A5 PE=2 SV=1	ref|XP_020630979.1|	0	collagen alpha-5(IV) chain-like [Orbicella faveolata]	GO:0005604; GO:0005587; GO:0005201; GO:0055013; GO:0007391; GO:0060729; GO:0035848; GO:0048621	GO:0005604; GO:0005581; GO:0005201
PAX7	5.60259800091566e-16	1.33040448344219	0.24	0.105	1.38473812190631e-11	sym	evm.model.Ap1.1284	evm.TU.Ap1.1284	Paired box protein Pax-7	Paired box protein Pax-3-B	protein gooseberry-like [Orbicella faveolata]	sp|P47239|PAX7_MOUSE	1.02e-67	Paired box protein Pax-7 OS=Mus musculus GN=Pax7 PE=1 SV=2	tr|A0A2B4T0C9|A0A2B4T0C9_STYPI	0	Paired box protein Pax-3-B OS=Stylophora pistillata GN=pax3-b PE=4 SV=1	ref|XP_020625855.1|	0	protein gooseberry-like [Orbicella faveolata]	GO:0005634; GO:0005667; GO:0003700; GO:0043565; GO:0000983; GO:0009887; GO:0051216; GO:0006338; GO:0021904; GO:0048706; GO:0060415; GO:0048663; GO:0031062; GO:2000288; GO:0045944; GO:0010453; GO:0010468; GO:0043393; GO:0006355; GO:0014813; GO:0007519; GO:0043403; GO:0021527; GO:0006351	GO:0005634; GO:0043565; GO:0007275; GO:0006355; GO:0006351
RL31	1.52739360609069e-15	-0.0876451927422393	0.856	0.844	3.77510603681375e-11	apo	evm.model.Ap5.2792	evm.TU.Ap5.2792	60S ribosomal protein L31	60S ribosomal protein L31	60S ribosomal protein L31-like isoform X2 [Orbicella faveolata]	sp|Q9IA76|RL31_PAROL	2.77e-65	60S ribosomal protein L31 OS=Paralichthys olivaceus GN=rpl31 PE=2 SV=1	tr|A0A2B4S1A7|A0A2B4S1A7_STYPI	5.86e-83	60S ribosomal protein L31 OS=Stylophora pistillata GN=rpl31 PE=4 SV=1	ref|XP_020604647.1|	2.06e-83	60S ribosomal protein L31-like isoform X2 [Orbicella faveolata]	GO:0005840; GO:0003735; GO:0006412	GO:0005840; GO:0003735; GO:0006412
CYTB	1.65831328689004e-13	0.0885870094332075	0.674	0.619	4.09868711987741e-09	sym	evm.model.Ap6.2335	evm.TU.Ap6.2335	Cystatin-B	Cystatin-B	cystatin-B-like [Stylophora pistillata]	sp|Q862Z5|CYTB_MACFU	1.85e-30	Cystatin-B OS=Macaca fuscata fuscata GN=CSTB PE=3 SV=1	tr|A0A2B4SZ04|A0A2B4SZ04_STYPI	8.04e-47	Cystatin-B OS=Stylophora pistillata GN=Cstb PE=4 SV=1	gb|PFX33667.1|	1.25e-46	cystatin-B-like [Stylophora pistillata]	GO:0005737; GO:0005634; GO:0004869	GO:0005622; GO:0004869
MYP	2.09346086117978e-13	0.166155729968934	0.799	0.808	5.17419786449195e-09	sym	evm.model.Ap1.2268	evm.TU.Ap1.2268	Major yolk protein	Major yolk protein	major yolk protein-like isoform X2 [Stylophora pistillata]	sp|P19615|MYP_STRPU	4.15e-80	Major yolk protein OS=Strongylocentrotus purpuratus PE=1 SV=2	tr|A0A2B4SFK3|A0A2B4SFK3_STYPI	0	Major yolk protein OS=Stylophora pistillata GN=2 PE=4 SV=1	gb|PFX27833.1|	0	major yolk protein-like isoform X2 [Stylophora pistillata]	GO:0005576; GO:0005785; GO:0046872; GO:0045735; GO:0005047; GO:0006811; GO:0055072	GO:0005576
RL33A	1.23611895139131e-12	-0.0375039170830442	0.809	0.758	3.05519160025877e-08	apo	evm.model.Ap8.233	evm.TU.Ap8.233	60S ribosomal protein L33-A	Predicted protein	60S ribosomal protein L35a-like [Orbicella faveolata]	sp|Q9USX4|RL33A_SCHPO	1.07e-21	60S ribosomal protein L33-A OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl35b PE=3 SV=2	tr|A7RR70|A7RR70_NEMVE	4.8e-29	Predicted protein OS=Nematostella vectensis GN=v1g240098 PE=3 SV=1	ref|XP_020614595.1|	1.18e-31	60S ribosomal protein L35a-like [Orbicella faveolata]	GO:0005829; GO:0022625; GO:0005730; GO:0019843; GO:0003735; GO:0008270; GO:0002181; GO:0042273	GO:0022625; GO:0003735; GO:0002181; GO:0042273
HIS8.1	4.80767369912254e-10	0.894875432700166	0.307	0.136	1.18826463147513e-05	sym	evm.model.Ap2.832	evm.TU.Ap2.832	Histidinol-phosphate aminotransferase	Gastric intrinsic factor	uncharacterized protein LOC110054692 [Orbicella faveolata]	sp|A5FFY0|HIS8_FLAJ1	8.06e-60	Histidinol-phosphate aminotransferase OS=Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101) GN=hisC PE=3 SV=1	tr|A0A2B4S493|A0A2B4S493_STYPI	3.14e-126	Gastric intrinsic factor OS=Stylophora pistillata GN=GIF PE=4 SV=1	ref|XP_020616707.1|	1.28e-160	uncharacterized protein LOC110054692 [Orbicella faveolata]	GO:0004400; GO:0080130; GO:0030170; GO:0000105	GO:0031419; GO:0015889
GILT	1.18332555938479e-09	-1.09100660872671	0.548	0.688	2.92470745257545e-05	apo	evm.model.Ap4.6695	evm.TU.Ap4.6695	Gamma-interferon-inducible lysosomal thiol reductase	Gamma-interferon-inducible lysosomal thiol reductase	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	sp|Q5XJN2|GILT_DANRE	1.28e-56	Gamma-interferon-inducible lysosomal thiol reductase OS=Danio rerio GN=ifi30 PE=1 SV=1	tr|A0A2B4SSD0|A0A2B4SSD0_STYPI	2.27e-120	Gamma-interferon-inducible lysosomal thiol reductase OS=Stylophora pistillata GN=IFI30 PE=4 SV=1	ref|XP_020602860.1|	2.25e-128	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	GO:0005576; GO:0005764; GO:0047134; GO:0002376	GO:0016021
PKHL1.1	6.88299862989772e-09	0.76134188988765	0.272	0.155	0.000170120194136552	sym	evm.model.Ap2.1203	evm.TU.Ap2.1203	Fibrocystin-L	Fibrocystin-L	fibrocystin-L-like isoform X1 [Orbicella faveolata]	sp|Q86WI1|PKHL1_HUMAN	0	Fibrocystin-L OS=Homo sapiens GN=PKHD1L1 PE=2 SV=2	tr|A0A2B4SG89|A0A2B4SG89_STYPI	0	Fibrocystin-L OS=Stylophora pistillata GN=PKHD1L1 PE=4 SV=1	ref|XP_020608209.1|	0	fibrocystin-L-like isoform X1 [Orbicella faveolata]	GO:0005929; GO:0005829; GO:0005615; GO:0016021; GO:0004872; GO:0006955	GO:0016021; GO:0005886; GO:0005509; GO:0007156
CRA1B.3	2.57263288126916e-08	-0.145455136797995	0.873	0.886	0.000635851942934487	apo	evm.model.Ap7.2874	evm.TU.Ap7.2874	Collagen alpha-1(XXVII) chain B	Collagen alpha-1(XXVII) chain B	collagen alpha-1(I) chain-like [Orbicella faveolata]	sp|A0MSJ1|CRA1B_DANRE	8.77e-80	Collagen alpha-1(XXVII) chain B OS=Danio rerio GN=col27a1b PE=2 SV=1	tr|A0A2B4SXQ8|A0A2B4SXQ8_STYPI	0	Collagen alpha-1(XXVII) chain B OS=Stylophora pistillata GN=col27a1b PE=4 SV=1	ref|XP_020616319.1|	0	collagen alpha-1(I) chain-like [Orbicella faveolata]	GO:0005581; GO:0005578; GO:0005201; GO:0046872; GO:0030282; GO:0048570; GO:0001501	GO:0005581; GO:0005201
CO4A1.4	3.3922113755635e-08	-0.14541080183453	0.845	0.824	0.000838418963584274	apo	evm.model.Ap7.124	evm.TU.Ap7.124	Collagen alpha-1(IV) chain	Collagen alpha-1(XXVII) chain B	collagen alpha-1(I) chain-like [Stylophora pistillata]	sp|P08120|CO4A1_DROME	1.46e-110	Collagen alpha-1(IV) chain OS=Drosophila melanogaster GN=Cg25C PE=1 SV=3	tr|A0A2B4SV32|A0A2B4SV32_STYPI	0	Collagen alpha-1(XXVII) chain B OS=Stylophora pistillata GN=col27a1b PE=4 SV=1	ref|XP_022779255.1|	0	collagen alpha-1(I) chain-like [Stylophora pistillata]	GO:0005604; GO:0005587; GO:0005201; GO:0055013; GO:0007391; GO:0060729; GO:0035848; GO:0048621	GO:0005581; GO:0005201
ACOT5	3.60927798938155e-08	1.8269091187465	0.235	0.09	0.000892069147855545	sym	evm.model.Ap4.1499	evm.TU.Ap4.1499	Acyl-coenzyme A thioesterase 5	Predicted protein	acyl-coenzyme A thioesterase 5-like [Orbicella faveolata]	sp|Q6Q2Z6|ACOT5_MOUSE	2.12e-104	Acyl-coenzyme A thioesterase 5 OS=Mus musculus GN=Acot5 PE=2 SV=2	tr|A7SNB9|A7SNB9_NEMVE	4.99e-143	Predicted protein OS=Nematostella vectensis GN=v1g230573 PE=4 SV=1	ref|XP_020608883.1|	0	acyl-coenzyme A thioesterase 5-like [Orbicella faveolata]	GO:0005829; GO:0005777; GO:0047617; GO:0052689; GO:0102991; GO:0016290; GO:0006637; GO:0001676; GO:0032788; GO:0032789; GO:0000038	GO:0005737; GO:0047617; GO:0006637; GO:0006631
ARLY	4.09749254610214e-08	4.17750664840935	0.183	0.016	0.0010127362576946	sym	evm.model.Ap8.205	evm.TU.Ap8.205	Argininosuccinate lyase	Predicted protein	argininosuccinate lyase-like [Stylophora pistillata]	sp|P20673|ARLY_RAT	0	Argininosuccinate lyase OS=Rattus norvegicus GN=Asl PE=2 SV=1	tr|A7SM51|A7SM51_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g172052 PE=3 SV=1	ref|XP_022793039.1|	0	argininosuccinate lyase-like [Stylophora pistillata]	GO:0070852; GO:0005737; GO:0005783; GO:0070062; GO:0005741; GO:0043025; GO:0005634; GO:0043204; GO:0048471; GO:0004056; GO:0042802; GO:0007568; GO:0019676; GO:0006526; GO:0042450; GO:0000053; GO:0006520; GO:0071242; GO:0071320; GO:0071549; GO:0071377; GO:0071385; GO:0071456; GO:0071346; GO:0071356; GO:0060539; GO:0001822; GO:0001889; GO:0007626; GO:0007494; GO:0009791; GO:0014075; GO:0042493; GO:0060416; GO:0032496; GO:0007584; GO:0043434; GO:0048545; GO:0009636; GO:0010043; GO:0000050	GO:0005737; GO:0004056; GO:0042450
ES16	4.46108141093384e-07	-1.41384410749656	0.224	0.335	0.0110260088152641	apo	evm.model.Ap13.790	evm.TU.Ap13.790	Ecdysteroid-regulated 16 kDa protein	ATP-binding cassette sub-family D member 4	ATP-binding cassette sub-family D member 4 [Stylophora pistillata]	sp|Q25481|ES16_MANSE	8.04e-15	Ecdysteroid-regulated 16 kDa protein OS=Manduca sexta GN=ESR16 PE=2 SV=1	tr|A0A2B4SE64|A0A2B4SE64_STYPI	1.43e-54	ATP-binding cassette sub-family D member 4 OS=Stylophora pistillata GN=Abcd4 PE=4 SV=1	gb|PFX27666.1|	2.21e-54	ATP-binding cassette sub-family D member 4 [Stylophora pistillata]	GO:0005576; GO:0005622; GO:0032367	GO:0016021; GO:0005524; GO:0042626
FGFR1.6	4.581861716364e-07	-1.18359575505066	0.347	0.412	0.0113245294181653	apo	evm.model.Ap5.2541	evm.TU.Ap5.2541	Fibroblast growth factor receptor 1	Fibroblast growth factor receptor 1-A	hemicentin-1-like [Orbicella faveolata]	sp|P21804|FGFR1_CHICK	2.66e-103	Fibroblast growth factor receptor 1 OS=Gallus gallus GN=FGFR1 PE=2 SV=1	tr|A0A2B4STZ6|A0A2B4STZ6_STYPI	0	Fibroblast growth factor receptor 1-A OS=Stylophora pistillata GN=fgfr1a PE=4 SV=1	ref|XP_020612034.1|	0	hemicentin-1-like [Orbicella faveolata]	GO:0031410; GO:0005829; GO:0016021; GO:0005634; GO:0005886; GO:0005524; GO:0017134; GO:0005007; GO:0008201; GO:0003347; GO:0018108; GO:0008284; GO:0043406; GO:0010863; GO:0045893	GO:0005576; GO:0016021; GO:0005524; GO:0008061; GO:0019838; GO:0008168; GO:0005021; GO:0006030; GO:0048010
GLYM	5.76250156356032e-07	-1.43096823912082	0.163	0.299	0.0142425988644957	apo	evm.model.Ap12.769	evm.TU.Ap12.769	Serine hydroxymethyltransferase, mitochondrial	Serine hydroxymethyltransferase, mitochondrial	serine hydroxymethyltransferase, mitochondrial-like [Orbicella faveolata]	sp|P34897|GLYM_HUMAN	0	Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3	tr|A0A2B4RK22|A0A2B4RK22_STYPI	0	Serine hydroxymethyltransferase, mitochondrial OS=Stylophora pistillata GN=SHMT2 PE=4 SV=1	ref|XP_020622704.1|	0	serine hydroxymethyltransferase, mitochondrial-like [Orbicella faveolata]	GO:0070552; GO:0005737; GO:0070062; GO:0015630; GO:0005743; GO:0005758; GO:0005759; GO:0042645; GO:0005739; GO:0005634; GO:0016597; GO:0003682; GO:0004372; GO:0042802; GO:0008732; GO:0030170; GO:0046655; GO:0019264; GO:0006544; GO:0006564; GO:0006563; GO:0006730; GO:0008284; GO:0051289; GO:0070536; GO:0051262; GO:0034340; GO:0035999; GO:0046653	GO:0004372; GO:0008168; GO:0030170; GO:0019264; GO:0035999
NUCL	1.15869690161147e-06	-0.912875915893327	0.412	0.478	0.0286383526202292	apo	evm.model.Ap6.1588	evm.TU.Ap6.1588	Nucleolin	Nuclear localization sequence-binding protein	protein gar2-like isoform X2 [Orbicella faveolata]	sp|P19338|NUCL_HUMAN	5e-27	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	tr|A0A2B4S3W9|A0A2B4S3W9_STYPI	6.09e-92	Nuclear localization sequence-binding protein OS=Stylophora pistillata GN=NSR1 PE=4 SV=1	ref|XP_020624048.1|	2.26e-140	protein gar2-like isoform X2 [Orbicella faveolata]	GO:0005938; GO:0036464; GO:0070062; GO:0030529; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0044547; GO:0042802; GO:0048027; GO:0008022; GO:0003723; GO:0042162; GO:0001525; GO:0071364; GO:1990830; GO:0017148; GO:0045944; GO:1901838	GO:0003723
CO6A6.1	7.16172056690319e-06	-0.0387235084548094	0.335	0.312	0.177009085531579	apo	evm.model.Ap7.950	evm.TU.Ap7.950	Collagen alpha-6(VI) chain	Collagen alpha-3(VI) chain	uncharacterized protein LOC111343812 [Stylophora pistillata]	sp|A6NMZ7|CO6A6_HUMAN	2.73e-79	Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2	tr|A0A2B4RFR0|A0A2B4RFR0_STYPI	0	Collagen alpha-3(VI) chain OS=Stylophora pistillata GN=COL6A3 PE=4 SV=1	ref|XP_022806737.1|	0	uncharacterized protein LOC111343812 [Stylophora pistillata]	GO:0005581; GO:0031012; GO:0005576; GO:0005578; GO:0007155; GO:0030574	GO:0005581
