gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
TNIP1	0.0226536059922537	-1.06885369677327	0.116	0.225	1	apo	evm.model.Ap12.796	evm.TU.Ap12.796	TNFAIP3-interacting protein 1	Uncharacterized protein	TNFAIP3-interacting protein 3-like isoform X1 [Stylophora pistillata]	sp|Q15025|TNIP1_HUMAN	4.89e-07	TNFAIP3-interacting protein 1 OS=Homo sapiens GN=TNIP1 PE=1 SV=2	tr|A0A2B4S0Q4|A0A2B4S0Q4_STYPI	2.09e-136	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12843 PE=4 SV=1	gb|PFX22629.1|	3.24e-136	TNFAIP3-interacting protein 3-like isoform X1 [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0005622; GO:0005654; GO:0042802; GO:0051019; GO:0031593; GO:0071222; GO:0006952; GO:0009101; GO:0006954; GO:0007159; GO:0085032; GO:0002755; GO:0070373; GO:0043124; GO:0045071; GO:0050729; GO:1903003; GO:0045944; GO:0016579; GO:0006412	
SEM1A.1	0.0253867224454735	0.799844437944343	0.227	0.14	1	sym	evm.model.Ap1.1292	evm.TU.Ap1.1292	Semaphorin-1A	Semaphorin-1A	semaphorin-2A-like isoform X1 [Orbicella faveolata]	sp|Q26473|SEM1A_SCHAM	2.1e-47	Semaphorin-1A OS=Schistocerca americana GN=SEMA-1A PE=1 SV=1	tr|A0A2B4T2F5|A0A2B4T2F5_STYPI	0	Semaphorin-1A OS=Stylophora pistillata GN=Sema-1a PE=4 SV=1	ref|XP_020625899.1|	0	semaphorin-2A-like isoform X1 [Orbicella faveolata]	GO:0016021; GO:0030154; GO:0007399	GO:0016021
ICT1.1	0.0284344199660624	3.37320963385491	0.119	0.013	1	sym	evm.model.Ap12.1477	evm.TU.Ap12.1477	Peptidyl-tRNA hydrolase ICT1, mitochondrial	Immature colon carcinoma transcript 1 protein	peptidyl-tRNA hydrolase ICT1, mitochondrial-like, partial [Stylophora pistillata]	sp|B5XAM2|ICT1_SALSA	4.22e-39	Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Salmo salar GN=mrpl58 PE=2 SV=1	tr|G7JLB8|G7JLB8_MEDTR	2.28e-44	Immature colon carcinoma transcript 1 protein OS=Medicago truncatula GN=11412024 PE=4 SV=1	ref|XP_022794560.1|	7.72e-74	peptidyl-tRNA hydrolase ICT1, mitochondrial-like, partial [Stylophora pistillata]	GO:0005762; GO:0005739; GO:0004045; GO:0016150; GO:0070126	GO:0003747
ACOD.1	0.11502647366595	1.27304408757621	0.14	0.059	1	sym	evm.model.Ap9.2412	evm.TU.Ap9.2412	Acyl-CoA desaturase	Acyl-CoA desaturase	stearoyl-CoA desaturase 5-like [Orbicella faveolata]	sp|Q92038|ACOD_CYPCA	1.21e-122	Acyl-CoA desaturase OS=Cyprinus carpio PE=2 SV=2	tr|A0A2B4RAF9|A0A2B4RAF9_STYPI	0	Acyl-CoA desaturase OS=Stylophora pistillata GN=2 PE=4 SV=1	ref|XP_020610221.1|	0	stearoyl-CoA desaturase 5-like [Orbicella faveolata]	GO:0005789; GO:0016021; GO:0005506; GO:0016491; GO:0004768; GO:0006636	GO:0016021; GO:0016717; GO:0006633
PGCA.40	0.148728844753846	-1.85068613670289	0.049	0.103	1	apo	evm.model.Ap13.1936	evm.TU.Ap13.1936	Aggrecan core protein	Aggrecan core protein	uncharacterized protein LOC111323875 [Stylophora pistillata]	sp|Q61282|PGCA_MOUSE	5.92e-12	Aggrecan core protein OS=Mus musculus GN=Acan PE=1 SV=2	tr|A0A2B4SLC6|A0A2B4SLC6_STYPI	2.49e-77	Aggrecan core protein OS=Stylophora pistillata GN=Acan PE=4 SV=1	ref|XP_022783051.1|	3.89e-166	uncharacterized protein LOC111323875 [Stylophora pistillata]	GO:0005604; GO:0005615; GO:0005578; GO:0030246; GO:0005201; GO:0005540; GO:0046872; GO:0001502; GO:0007155; GO:0007417; GO:0002063; GO:0030199; GO:0007507; GO:0030166	
WIF1	0.171319843286513	1.91024567868002	0.073	0.024	1	sym	evm.model.Ap1.1977	evm.TU.Ap1.1977	Wnt inhibitory factor 1	Netrin-5	uncharacterized protein LOC110059462 [Orbicella faveolata]	sp|Q9WUA1|WIF1_MOUSE	1.31e-10	Wnt inhibitory factor 1 OS=Mus musculus GN=Wif1 PE=2 SV=1	tr|A0A2B4S0D4|A0A2B4S0D4_STYPI	3.79e-121	Netrin-5 OS=Stylophora pistillata GN=NTN5 PE=4 SV=1	ref|XP_020621816.1|	0	uncharacterized protein LOC110059462 [Orbicella faveolata]	GO:0005576; GO:0017147; GO:0007275; GO:0030178; GO:0045600; GO:0016055	GO:0005576
BCCT3	0.199183416935812	1.51860595848592	0.07	0.031	1	sym	evm.model.Ap2.3742	evm.TU.Ap2.3742	Glycine betaine transporter 1	Glycine betaine transporter OpuD	uncharacterized protein LOC110047198 [Orbicella faveolata]	sp|Q87NG3|BCCT3_VIBPA	5.75e-111	Glycine betaine transporter 1 OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) GN=VP1905 PE=1 SV=1	tr|A0A2B4RX87|A0A2B4RX87_STYPI	0	Glycine betaine transporter OpuD OS=Stylophora pistillata GN=opuD PE=4 SV=1	ref|XP_020608607.1|	0	uncharacterized protein LOC110047198 [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0022857; GO:0006865	GO:0016021; GO:0022857; GO:0071705
CY24B	0.260772536126055	2.11434567824332	0.073	0.013	1	sym	evm.model.Ap9.1908	evm.TU.Ap9.1908	Cytochrome b-245 heavy chain	Cytochrome b-245 heavy chain	cytochrome b-245 heavy chain-like isoform X1 [Orbicella faveolata]	sp|P04839|CY24B_HUMAN	0	Cytochrome b-245 heavy chain OS=Homo sapiens GN=CYBB PE=1 SV=2	tr|A0A2B4REC7|A0A2B4REC7_STYPI	0	Cytochrome b-245 heavy chain OS=Stylophora pistillata GN=CYBB PE=4 SV=1	ref|XP_020612067.1|	0	cytochrome b-245 heavy chain-like isoform X1 [Orbicella faveolata]	GO:0030425; GO:0005789; GO:0005794; GO:0005887; GO:0005739; GO:0043020; GO:0043025; GO:0005635; GO:0048471; GO:0030670; GO:0005886; GO:0005791; GO:0035579; GO:0070821; GO:0050660; GO:0020037; GO:0046872; GO:0046982; GO:0016175; GO:0005244; GO:0002479; GO:0045454; GO:0071276; GO:0071361; GO:1904845; GO:0034599; GO:0022900; GO:0050665; GO:0097411; GO:0006954; GO:0045087; GO:0043312; GO:0055114; GO:0045766; GO:0042535; GO:0034765; GO:0045730; GO:1904044; GO:1990776; GO:0042554; GO:0006801; GO:0048010	GO:0016021; GO:0016491
RS17	0.278550447776089	-0.0133861606947621	0.311	0.325	1	apo	evm.model.Ap1.509	evm.TU.Ap1.509	40S ribosomal protein S17	Predicted protein	40S ribosomal protein S17-like [Orbicella faveolata]	sp|A5PK63|RS17_BOVIN	1.78e-75	40S ribosomal protein S17 OS=Bos taurus GN=RPS17 PE=2 SV=1	tr|A7SPQ4|A7SPQ4_NEMVE	9.8e-83	Predicted protein OS=Nematostella vectensis GN=v1g192160 PE=3 SV=1	ref|XP_020631942.1|	2.51e-97	40S ribosomal protein S17-like [Orbicella faveolata]	GO:0022627; GO:0003735; GO:0000028; GO:0006412	GO:0022627; GO:0003735; GO:0000028; GO:0006412
RTBS.127	0.320435011125368	-1.58187383383598	0.038	0.087	1	apo	evm.model.Ap4.6771	evm.TU.Ap4.6771	Probable RNA-directed DNA polymerase from transposon BS	Putative RNA-directed DNA polymerase from transposon BS	uncharacterized protein LOC110062843 isoform X1 [Orbicella faveolata]	sp|Q95SX7|RTBS_DROME	3.04e-44	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1	tr|A0A2B4STK3|A0A2B4STK3_STYPI	0	Putative RNA-directed DNA polymerase from transposon BS OS=Stylophora pistillata GN=RTase PE=4 SV=1	ref|XP_020625447.1|	0	uncharacterized protein LOC110062843 isoform X1 [Orbicella faveolata]	GO:0003964; GO:0006313	GO:0003964
EHBP1.7	0.354051250211595	0.543391543927648	0.125	0.072	1	sym	evm.model.Ap1.3482	evm.TU.Ap1.3482	EH domain-binding protein 1	EH domain-binding protein 1	EH domain-binding protein 1-like isoform X1 [Orbicella faveolata]	sp|Q8NDI1|EHBP1_HUMAN	1.21e-36	EH domain-binding protein 1 OS=Homo sapiens GN=EHBP1 PE=1 SV=3	tr|A0A2B4SPU6|A0A2B4SPU6_STYPI	0	EH domain-binding protein 1 OS=Stylophora pistillata GN=EHBP1 PE=4 SV=1	ref|XP_020603618.1|	0	EH domain-binding protein 1-like isoform X1 [Orbicella faveolata]	GO:0005829; GO:0005768; GO:0005886; GO:0006897; GO:0015031	
ENTP5	0.38266093330069	-0.125445791680033	0.273	0.288	1	apo	evm.model.Ap11.1794	evm.TU.Ap11.1794	Ectonucleoside triphosphate diphosphohydrolase 5	ectonucleoside triphosphate diphosphohydrolase 5-like	ectonucleoside triphosphate diphosphohydrolase 5-like [Orbicella faveolata]	sp|Q6P6S9|ENTP5_RAT	4.79e-117	Ectonucleoside triphosphate diphosphohydrolase 5 OS=Rattus norvegicus GN=Entpd5 PE=2 SV=1	tr|A0A1S3SPP2|A0A1S3SPP2_SALSA	1.23e-116	ectonucleoside triphosphate diphosphohydrolase 5-like OS=Salmo salar GN=LOC106611031 PE=3 SV=1	ref|XP_020632217.1|	0	ectonucleoside triphosphate diphosphohydrolase 5-like [Orbicella faveolata]	GO:0005783; GO:0070062; GO:0004382; GO:0017110; GO:0045134; GO:0051084; GO:0046034; GO:0008283; GO:0045821; GO:0006487; GO:0014066	GO:0016787
RS18	0.385109914415532	-0.05001895334131	0.273	0.293	1	apo	evm.model.Ap1.3151	evm.TU.Ap1.3151	40S ribosomal protein S18	Predicted protein	40S ribosomal protein S18 [Stylophora pistillata]	sp|Q8ISP0|RS18_BRABE	1.3e-100	40S ribosomal protein S18 OS=Branchiostoma belcheri GN=RPS18 PE=2 SV=1	tr|A7SH82|A7SH82_NEMVE	3.78e-101	Predicted protein OS=Nematostella vectensis GN=v1g245261 PE=3 SV=1	ref|XP_022803137.1|	6.7e-104	40S ribosomal protein S18 [Stylophora pistillata]	GO:0005840; GO:0019843; GO:0003735; GO:0006412	GO:0005829; GO:0015935; GO:0003723; GO:0003735; GO:0042254; GO:0006412
HBP1	0.402058723323291	8.21284824243983	0.032	0	1	sym	evm.model.Ap10.740	evm.TU.Ap10.740	HMG box-containing protein 1	HMG box-containing protein 1	HMG box-containing protein 1-like [Stylophora pistillata]	sp|Q2KJ34|HBP1_BOVIN	5.62e-59	HMG box-containing protein 1 OS=Bos taurus GN=HBP1 PE=2 SV=1	tr|A0A2B4SN27|A0A2B4SN27_STYPI	0	HMG box-containing protein 1 OS=Stylophora pistillata GN=Hbp1 PE=4 SV=1	gb|PFX29917.1|	0	HMG box-containing protein 1-like [Stylophora pistillata]	GO:0005634; GO:0003677; GO:0003723; GO:0006355; GO:0006351; GO:0016055	GO:0005634; GO:0003677; GO:0003723
ETS1B	0.40330598756534	-0.518384397420819	0.099	0.151	1	apo	evm.model.Ap8.1063	evm.TU.Ap8.1063	Protein c-ets-1-B (Fragment)	Protein c-ets-1-B	uncharacterized protein LOC110057944 isoform X1 [Orbicella faveolata]	sp|P18756|ETS1B_XENLA	4.2e-28	Protein c-ets-1-B (Fragment) OS=Xenopus laevis GN=ets1-b PE=2 SV=1	tr|A0A2B4RKP5|A0A2B4RKP5_STYPI	1.92e-57	Protein c-ets-1-B OS=Stylophora pistillata GN=ets1-b PE=4 SV=1	ref|XP_020620211.1|	3.04e-112	uncharacterized protein LOC110057944 isoform X1 [Orbicella faveolata]	GO:0005634; GO:0003700; GO:0043565; GO:0010595; GO:0045765; GO:0006351	GO:0005634; GO:0003700; GO:0043565
SSH2	0.510552728724057	0.13487371228135	0.154	0.118	1	sym	evm.model.Ap3.2173	evm.TU.Ap3.2173	Protein phosphatase Slingshot homolog 2	Protein phosphatase Slingshot-like 1	uncharacterized protein LOC111322664 [Stylophora pistillata]	sp|Q76I76|SSH2_HUMAN	5.53e-145	Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=1 SV=1	tr|A0A2B4SPW8|A0A2B4SPW8_STYPI	0	Protein phosphatase Slingshot-like 1 OS=Stylophora pistillata GN=SSH1 PE=4 SV=1	ref|XP_022781537.1|	0	uncharacterized protein LOC111322664 [Stylophora pistillata]	GO:0005737; GO:0005856; GO:0005615; GO:0003779; GO:0004721; GO:0004725; GO:0008138; GO:0030036; GO:0006470; GO:0008064; GO:0050770; GO:0010591	GO:0004725; GO:0008138; GO:0030036
TRAD1.1	0.536865887037701	0.0936737271116329	0.099	0.09	1	sym	evm.model.Ap13.220	evm.TU.Ap13.220	TRAF-type zinc finger domain-containing protein 1	TRAF-type zinc finger domain-containing protein 1	XIAP-associated factor 1-like [Orbicella faveolata]	sp|Q99MM4|TRAD1_RAT	1.52e-24	TRAF-type zinc finger domain-containing protein 1 OS=Rattus norvegicus GN=Trafd1 PE=1 SV=2	tr|A0A2B4RWF6|A0A2B4RWF6_STYPI	1.59e-130	TRAF-type zinc finger domain-containing protein 1 OS=Stylophora pistillata GN=Trafd1 PE=4 SV=1	ref|XP_020618112.1|	2.83e-156	XIAP-associated factor 1-like [Orbicella faveolata]	GO:0008270; GO:0045824; GO:0034097	GO:0003676; GO:0008270; GO:0015074
RS23	0.555354502703581	-0.147671048375277	0.378	0.384	1	apo	evm.model.Ap5.1112	evm.TU.Ap5.1112	40S ribosomal protein S23	Predicted protein	40S ribosomal protein S23 [Orbicella faveolata]	sp|P62266|RS23_HUMAN	1.39e-94	40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3	tr|A7RFJ1|A7RFJ1_NEMVE	1.14e-96	Predicted protein OS=Nematostella vectensis GN=v1g177191 PE=3 SV=1	ref|XP_020611604.1|	4.96e-99	40S ribosomal protein S23 [Orbicella faveolata]	GO:0005829; GO:0022627; GO:0005783; GO:0016020; GO:0005654; GO:0042788; GO:0005840; GO:0003723; GO:0003735; GO:0002181; GO:1990145; GO:0000184; GO:0006364; GO:0006614; GO:0034063; GO:0006412; GO:0006413; GO:0019083	GO:0022627; GO:0003735; GO:0006412
RL23	0.573314526399761	-0.125329815960752	0.334	0.371	1	apo	evm.model.Ap7.2698	evm.TU.Ap7.2698	60S ribosomal protein L23	60S ribosomal protein L23	60S ribosomal protein L23 [Stylophora pistillata]	sp|P62829|RL23_HUMAN	1.24e-88	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	tr|A0A2B4RSF8|A0A2B4RSF8_STYPI	6.64e-94	60S ribosomal protein L23 OS=Stylophora pistillata GN=Rpl23 PE=4 SV=1	gb|PFX21364.1|	1.03e-93	60S ribosomal protein L23 [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0022625; GO:0070062; GO:0031012; GO:0005925; GO:0016020; GO:0005730; GO:0005654; GO:0043234; GO:0005840; GO:0070180; GO:0003723; GO:0003735; GO:0001223; GO:1990948; GO:0031625; GO:0072717; GO:0071157; GO:2000059; GO:0000122; GO:1904667; GO:0000184; GO:0071158; GO:0008284; GO:0010628; GO:1901798; GO:0045944; GO:0050821; GO:0032986; GO:0006610; GO:0006364; GO:0006614; GO:0006412; GO:0006413; GO:0019083	GO:0005840; GO:0003735; GO:0006412
LRMP	0.575173333317404	0.613615082368785	0.078	0.055	1	sym	evm.model.Ap2.2930	evm.TU.Ap2.2930	Lymphoid-restricted membrane protein	Protein KASH5	lymphoid-restricted membrane protein-like [Stylophora pistillata]	sp|Q5RHB5|LRMP_DANRE	3.59e-20	Lymphoid-restricted membrane protein OS=Danio rerio GN=lrmp PE=1 SV=2	tr|A0A2B4SGT2|A0A2B4SGT2_STYPI	0	Protein KASH5 OS=Stylophora pistillata GN=Ccdc155 PE=4 SV=1	ref|XP_022786492.1|	0	lymphoid-restricted membrane protein-like [Stylophora pistillata]	GO:0005813; GO:0000785; GO:0005789; GO:0016021; GO:0072686; GO:0097431; GO:0031965; GO:0007052; GO:0051028; GO:0051984; GO:0007344; GO:0035046	GO:0016021; GO:0005509
TIMP3.2	0.600223361049914	-0.585685897492405	0.058	0.085	1	apo	evm.model.Ap5.888	evm.TU.Ap5.888	Metalloproteinase inhibitor 3	Metalloproteinase inhibitor 3	metalloproteinase inhibitor 3-like [Orbicella faveolata]	sp|P26652|TIMP3_CHICK	1.74e-19	Metalloproteinase inhibitor 3 OS=Gallus gallus GN=TIMP3 PE=1 SV=2	tr|A0A2B4T0P7|A0A2B4T0P7_STYPI	8.59e-71	Metalloproteinase inhibitor 3 OS=Stylophora pistillata GN=timp3 PE=4 SV=1	ref|XP_020607988.1|	1.83e-110	metalloproteinase inhibitor 3-like [Orbicella faveolata]	GO:0005604; GO:0005615; GO:0005578; GO:0008191; GO:0002020; GO:0008270; GO:0071310; GO:0043086; GO:0070373; GO:0051045; GO:1904684; GO:1903984; GO:0010033	GO:0005576; GO:0008191
RS25	0.608007842760577	-0.17402859873137	0.323	0.365	1	apo	evm.model.Ap8.1270	evm.TU.Ap8.1270	40S ribosomal protein S25	40S ribosomal protein S25	40S ribosomal protein S25-like [Orbicella faveolata]	sp|Q6PBI5|RS25_DANRE	2.94e-43	40S ribosomal protein S25 OS=Danio rerio GN=rps25 PE=2 SV=1	tr|A0A146NFT7|A0A146NFT7_FUNHE	4.75e-50	40S ribosomal protein S25 OS=Fundulus heteroclitus PE=4 SV=1	ref|XP_020631066.1|	1.45e-74	40S ribosomal protein S25-like [Orbicella faveolata]	GO:0005840	GO:0005840
CSRN2	0.619178420997203	0.603933106520325	0.067	0.039	1	sym	evm.model.Ap11.357	evm.TU.Ap11.357	Cysteine/serine-rich nuclear protein 2	Cysteine/serine-rich nuclear protein 2	cysteine/serine-rich nuclear protein 2-like [Orbicella faveolata]	sp|Q8BGQ2|CSRN2_MOUSE	2.67e-32	Cysteine/serine-rich nuclear protein 2 OS=Mus musculus GN=Csrnp2 PE=2 SV=1	tr|A0A2B4RSW7|A0A2B4RSW7_STYPI	1.96e-124	Cysteine/serine-rich nuclear protein 2 OS=Stylophora pistillata GN=Csrnp2 PE=4 SV=1	ref|XP_020616920.1|	1.15e-130	cysteine/serine-rich nuclear protein 2-like [Orbicella faveolata]	GO:0005634; GO:0003700; GO:0019902; GO:0043565; GO:0001228; GO:0006915; GO:0010923; GO:0045944	
